school,year,metric,value
uc_davis,2024-2025,total_instructional_faculty,2083
uc_davis,2023-2024,student_faculty_ratio,21:1
uc_davis,2023-2024,total_instructional_faculty,2175
uc_davis,2020-2021,student_faculty_ratio,20:1
uc_davis,2020-2021,total_instructional_faculty,2284
uc_riverside,2019-2020,student_faculty_ratio,22:1
uc_riverside,2019-2020,total_instructional_faculty,1196
uc_san_diego,2024-2025,student_faculty_ratio,1
uc_san_diego,2024-2025,total_instructional_faculty,1771
uc_san_diego,2023-2024,student_faculty_ratio,19:1
uc_san_diego,2023-2024,total_instructional_faculty,1714
uc_san_diego,2019-2020,student_faculty_ratio,19:1
uc_san_diego,2019-2020,total_instructional_faculty,1515
uchicago,2024-2025,student_faculty_ratio,5:1
uchicago,2024-2025,total_instructional_faculty,2007
uchicago,2023-2024,student_faculty_ratio,5:1
uchicago,2023-2024,total_instructional_faculty,1927
uchicago,2022-2023,student_faculty_ratio,5:1
uchicago,2022-2023,total_instructional_faculty,1896
uchicago,2021-2022,student_faculty_ratio,5:1
uchicago,2021-2022,total_instructional_faculty,1844
ucla,2025-2026,student_faculty_ratio,20:1
ucla,2025-2026,total_instructional_faculty,2598
ucla,2023-2024,student_faculty_ratio,19:1
ucla,2023-2024,total_instructional_faculty,2588
ucla,2020-2021,student_faculty_ratio,18:1
ucla,2020-2021,total_instructional_faculty,2625
unc,2024-2025,student_faculty_ratio,15:1
unc,2024-2025,total_instructional_faculty,2587
unc,2021-2022,student_faculty_ratio,15:1
unc,2021-2022,total_instructional_faculty,2307
usc,2024-2025,student_faculty_ratio,8:1
usc,2024-2025,total_instructional_faculty,3727
usc,2022-2023,student_faculty_ratio,9:1
usc,2022-2023,total_instructional_faculty,3670
wake_forest,2024-2025,student_faculty_ratio,10:1
wake_forest,2024-2025,total_instructional_faculty,906
wake_forest,2023-2024,student_faculty_ratio,9.8:1
wake_forest,2023-2024,total_instructional_faculty,885
wake_forest,2018-2019,student_faculty_ratio,10:1
wake_forest,2018-2019,total_instructional_faculty,277
washu,2023-2024,student_faculty_ratio,7:1
washu,2023-2024,total_instructional_faculty,1587
washu,2019-2020,student_faculty_ratio,7:1
washu,2019-2020,total_instructional_faculty,1510
yale,2025-2026,student_faculty_ratio,8.8:1
yale,2025-2026,total_instructional_faculty,2221
yale,2017-2018,student_faculty_ratio,6:1
yale,2017-2018,total_instructional_faculty,1716
yale,2014-2015,student_faculty_ratio,5.6:1
yale,2014-2015,total_instructional_faculty,1687
yale,2010-2011,student_faculty_ratio,5.4:1
yale,2010-2011,total_instructional_faculty,828
